ratio,r,r,r,u,u,u
c1,190.83,190.67,190,272.63,276.5,276.17
c2,205.08,205.33,205.83,331.54,331.13,329.84
c3,218.67,221.08,219.33,333.75,334.54,335.13
c4,222.75,222.67,224.58,327.42,327.8,326.88
c5,206.67,210.75,209.08,288.75,288.38,288.29
c6,255.75,254.75,257.75,255.13,254.29,254.67
